Date,Survey_Method,Observation_Start_Time,Observation_End_Time,Shrimp_Creel_Area,Old_Area_Designation,Buoys,Boats_Shrimping,Boats_Not_Shrimping,Boats_Uncertain,Site_Description,Comments
5/11/2019,Arial,,,26A-6,26A13AP,,,,,Applecove Pt - Pt No Pt,
5/11/2019,Arial,829,832,26A-9A,26A11WBP,,,,,Green Can - Possession Pt.,Included with count of 26A-9B
5/11/2019,Arial,832,846,26A-9,26A11WPS,,149,12,3,Possession Pt - Sandy Pt,
5/11/2019,Arial,846,853,24C-5,24C14,,100,3,10,Sandy Pt - Baby Is,
5/11/2019,Arial,856,859,24C-6,24C10W,,28,3,0,Pilings N of Holmes Hbr - Snatelum Pt,
5/11/2019,Arial,859,902,24C-1,24C11RS,,55,0,3,Rocky Pt - Sunset Beach,
5/11/2019,Arial,902,904,24C-2,24C11SO,,27,0,2,Sunset Beach - Onamac Pt,
5/11/2019,Arial,904,906,24C-3,24C12,,42,3,0,Onamac Pt - Lowell Pt,
5/11/2019,Arial,906,910,24C-4,24C13,,48,3,0,Lowell Pt - Camano Head,
5/11/2019,Arial,910,914,24B-2,24B10W,,16,7,1,Camano Head - N Port Susan,
5/11/2019,Arial,914,918,24B-3,24B10E,,29,1,0,N Port Susan - N end Tulalip Bay,
5/11/2019,Arial,837,840,24B-1,24B11,,72,0,17,N end Tulalip Bay - Yellow crane & E Gedney Is,
5/11/2019,Arial,822,825,26A-2,26A10,,68,0,2,Yellow crane - Mukilteo Ferry,
5/11/2019,Arial,840,846,26A-1,26A11EG,,168,7,0,W Gedney Is,
5/11/2019,Arial,825,829,26A-3,26A11MS,,21,0,1,Mukilteo Ferry - Shipwreck,
5/11/2019,Arial,,,26A-4,26A11SP,,,,,Shipwreck - Picnic Pt,
5/11/2019,Arial,,,26A-5,26A14PE,,,,,Picnic Pt. - Edwards Pt,
5/15/2019,Arial,,,26A-6,26A13AP,,,,,Applecove Pt - Pt No Pt,
5/15/2019,Arial,755,758,26A-9A,26A11WBP,,,,,Green Can - Possession Pt.,Included with count of 26A-9B
5/15/2019,Arial,758,812,26A-9,26A11WPS,,99,14,7,Possession Pt - Sandy Pt,
5/15/2019,Arial,812,820,24C-5,24C14,,104,19,5,Sandy Pt - Baby Is,
5/15/2019,Arial,820,825,24C-6,24C10W,,0,2,2,Pilings N of Holmes Hbr - Snatelum Pt,
5/15/2019,Arial,825,826,24C-1,24C11RS,,15,6,4,Rocky Pt - Sunset Beach,
5/15/2019,Arial,826,828,24C-2,24C11SO,,31,2,2,Sunset Beach - Onamac Pt,
5/15/2019,Arial,828,832,24C-3,24C12,,42,6,4,Onamac Pt - Lowell Pt,
5/15/2019,Arial,832,836,24C-4,24C13,,23,3,1,Lowell Pt - Camano Head,
5/15/2019,Arial,836,841,24B-2,24B10W,,9,6,2,Camano Head - N Port Susan,
5/15/2019,Arial,841,846,24B-3,24B10E,,19,11,4,N Port Susan - N end Tulalip Bay,
5/15/2019,Arial,806,812,24B-1,24B11,,91,33,3,N end Tulalip Bay - Yellow crane & E Gedney Is,
5/15/2019,Arial,846,846,26A-2,26A10,,63,7,3,Yellow crane - Mukilteo Ferry,
5/15/2019,Arial,802,806,26A-1,26A11EG,,85,2,4,W Gedney Is,
5/15/2019,Arial,849,852,26A-3,26A11MS,,17,2,8,Mukilteo Ferry - Shipwreck,
5/15/2019,Arial,,,26A-4,26A11SP,,,,,Shipwreck - Picnic Pt,
5/15/2019,Arial,,,26A-5,26A14PE,,,,,Picnic Pt. - Edwards Pt,
5/11/2019,Boat,832,835,26A-9,26A11PS,396,123,2,,POSSESSION POINT- SANDY POINT,
5/11/2019,Boat,835,902,24C-5,24C14,350,94,13,,SANDY - BABY IS,
5/11/2019,Boat,1011,1046,24C-6,24C10W,5,3,0,,PILINGS N HOLMES HBR -SNATELUM,
5/11/2019,Boat,1046,1051,24C-1,24C11RS,24,7,3,,ROCKY - SUNSET BEACH,
5/11/2019,Boat,1051,1103,24C-2,24C11SO,100,36,2,,SUNSET - ONAMAC,
5/11/2019,Boat,1103,1115,24C-3,24C12,74,31,6,,ONAMAC - LOWELL,
5/11/2019,Boat,1115,1123,24C-4,24C13,71,23,7,,LOWELL - CAMANO,
5/11/2019,Boat,1123,1152,24B-2,24B10W,71,14,1,,CAMANO - N. PORT SUSAN,
5/11/2019,Boat,1152,1215,24B-3,24B10E,78,18,3,,N. PORT SUSAN - N END TULALIP BAY,
5/11/2019,Boat,924,943,24B-1,24B11,224,92,9,,TULALIP BAY - MARINA (YELLOW CRANE) & NE GEDNEY ,
5/11/2019,Boat,727,735,26A-2,26A10,245,77,2,,MARINA (YELLOW CRANE) - MUKILTEO FERRY,
5/11/2019,Boat,902,924,26A-1,26A11EG,431,194,3,,GEDNEY ISLAND,
5/11/2019,Boat,735,746,26A-3,26A11MS,117,34,0,,MUKILTEO FERRY - SHIPWRECK,
5/15/2019,Boat,809,830,26A-9,26A11PS,276,86,12,,POSSESSION POINT- SANDY POINT,
5/15/2019,Boat,915,940,24C-5,24C14,211,64,12,,SANDY - BABY IS,
5/15/2019,Boat,1000,1004,24C-6,24C10W,59,17,2,,PILINGS N HOLMES HBR -SNATELUM,
5/15/2019,Boat,1004,1010,24C-1,24C11RS,39,12,2,,ROCKY - SUNSET BEACH,
5/15/2019,Boat,1010,1013,24C-2,24C11SO,78,22,2,,SUNSET - ONAMAC,
5/15/2019,Boat,1013,1022,24C-3,24C12,45,15,10,,ONAMAC - LOWELL,
5/15/2019,Boat,1022,1036,24C-4,24C13,43,15,0,,LOWELL - CAMANO,
5/15/2019,Boat,1036,1052,24B-2,24B10W,34,9,4,,CAMANO - N. PORT SUSAN,
5/15/2019,Boat,1053,1110,24B-3,24B10E,65,18,10,,N. PORT SUSAN - N END TULALIP BAY,
5/15/2019,Boat,850,913,24B-1,24B11,230,68,10,,TULALIP BAY - MARINA (YELLOW CRANE) & NE GEDNEY ,
5/15/2019,Boat,714,722,26A-2,26A10,142,46,3,,MARINA (YELLOW CRANE) - MUKILTEO FERRY,
5/15/2019,Boat,838,850,26A-1,26A11EG,237,89,3,,GEDNEY ISLAND,
5/15/2019,Boat,722,729,26A-3,26A11MS,27,11,1,,MUKILTEO FERRY - SHIPWRECK,
