Catch_Area_Code,Split_SubUnit_Code,Landing_Date,Batch_year,Month,Day,Round_Lbs_Qty,Fisher_Type_Code,Tribe_num,Tribe_Member_Num,Vessel_ID,License_ID,Dealer_License_ID,Round_Lbs_Price_Amt,Tribal_Tax_Amt,Species_Code,Gear_Code,Landing_Cnt,Port_Code,Fish_Ticket_Num,Ticket_Data_Source_Code,Catch_Desc_Code,Species_Code_Desc
24C ,,10/1/2019,2019,10,1,2320,1,,,36579,56397,128547,3.5,,561,21,,143,LA811601,COMM,0,DUNGENESS CRAB
24A ,,10/1/2019,2019,10,1,1507,1,,,36376,56193,128547,3.5,,561,21,,143,LA811602,COMM,0,DUNGENESS CRAB
24A ,,10/1/2019,2019,10,1,2001,1,,,38114,55914,128547,3.5,,561,21,,143,LA811603,COMM,0,DUNGENESS CRAB
24C ,,10/1/2019,2019,10,1,1066,1,,,36635,56104,128547,3.5,,561,21,,143,LA811604,COMM,0,DUNGENESS CRAB
24A ,,10/1/2019,2019,10,1,1079,1,,,38335,56143,128547,3.5,,561,21,,105,LA815173,COMM,0,DUNGENESS CRAB
24A ,,10/1/2019,2019,10,1,898,1,,,34635,56008,128547,3.5,,561,21,,105,LA815174,COMM,0,DUNGENESS CRAB
22A ,,10/1/2019,2019,10,1,1208,1,,,32405,55989,128547,3.5,,561,21,,105,LA815175,COMM,0,DUNGENESS CRAB
22B ,,10/1/2019,2019,10,1,1043,1,,,38757,56188,128547,3.5,,561,21,,105,LA815176,COMM,0,DUNGENESS CRAB
21A ,,10/1/2019,2019,10,1,240,1,,,34334,56346,128685,3.75,,561,21,,105,LA821017,COMM,0,DUNGENESS CRAB
24C ,,10/1/2019,2019,10,1,1178,1,,,36117,55954,128252,4.25,,561,21,,105,LA817804,COMM,0,DUNGENESS CRAB
24C ,,10/1/2019,2019,10,1,1241,1,,,37829,56111,128252,4.25,,561,21,,105,LA817805,COMM,0,DUNGENESS CRAB
24C ,,10/2/2019,2019,10,2,2400,1,,,36117,55954,128252,4.25,,561,21,,105,LA817807,COMM,0,DUNGENESS CRAB
24C ,,10/3/2019,2019,10,3,2376,1,,,36117,55954,128252,4.25,,561,21,,105,LA817808,COMM,0,DUNGENESS CRAB
20A ,,10/1/2019,2019,10,1,836,1,,,29003,56173,128370,3.75,,561,21,,105,LA822301,COMM,0,DUNGENESS CRAB
20A ,,10/1/2019,2019,10,1,1270,1,,,38759,56122,128370,3.75,,561,21,,105,LA822302,COMM,0,DUNGENESS CRAB
20A ,,10/2/2019,2019,10,2,2317,1,,,29003,56173,128370,3.75,,561,21,,105,LA822303,COMM,0,DUNGENESS CRAB
20A ,,10/2/2019,2019,10,2,2592,1,,,38759,56122,128370,3.75,,561,21,,105,LA822304,COMM,0,DUNGENESS CRAB
21B ,,10/2/2019,2019,10,2,663,1,,,10535,56116,128384,3.5,,561,21,,115,LA803805,COMM,0,DUNGENESS CRAB
21B ,,10/2/2019,2019,10,2,221,1,,,10535,56131,128384,3.5,,561,21,,115,LA803806,COMM,0,DUNGENESS CRAB
