Catch_Area_Code,Split_SubUnit_Code,Landing_Date,Batch_year,Month,Day,Round_Lbs_Qty,Fisher_Type_Code,Tribe_num,Tribe_Member_Num,Vessel_ID,License_ID,Dealer_License_ID,Round_Lbs_Price_Amt,Tribal_Tax_Amt,Species_Code,Gear_Code,Landing_Cnt,Port_Code,Fish_Ticket_Num,Ticket_Data_Source_Code,Catch_Desc_Code,Species_Code_Desc
22B ,,10/1/2017,2017,10,1,257,1,,,37907,55968,126573,4,,561,21,,105,Z965714,COMM,0,DUNGENESS CRAB
22B ,,10/1/2017,2017,10,1,941,1,,,,55949,126573,4,,561,21,,105,Z965715,COMM,0,DUNGENESS CRAB
25B ,,10/1/2017,2017,10,1,580,1,,,32405,56229,126573,4,,561,21,,105,Z965716,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,314,1,,,37658,56122,126573,4,,561,21,,105,Z965717,COMM,0,DUNGENESS CRAB
24C ,,10/1/2017,2017,10,1,57,1,,,36579,56403,126573,4,,561,21,,105,Z974844,COMM,0,DUNGENESS CRAB
24C ,,10/1/2017,2017,10,1,396,1,,,36635,56192,126573,4,,561,21,,105,Z974845,COMM,0,DUNGENESS CRAB
24C ,,10/1/2017,2017,10,1,221,1,,,37896,56112,126573,4,,561,21,,105,Z974846,COMM,0,DUNGENESS CRAB
24C ,,10/1/2017,2017,10,1,341,1,,,36376,56412,126573,4,,561,21,,105,Z974847,COMM,0,DUNGENESS CRAB
22B ,,10/1/2017,2017,10,1,149,1,,,37907,56394,126573,4,,561,21,,105,Z975198,COMM,0,DUNGENESS CRAB
22B ,,10/1/2017,2017,10,1,729,1,,,29003,56173,126573,4,,561,21,,105,Z975199,COMM,0,DUNGENESS CRAB
22B ,,10/1/2017,2017,10,1,1163,1,,,36153,56258,126573,4,,561,21,,105,Z975200,COMM,0,DUNGENESS CRAB
24A ,,10/1/2017,2017,10,1,107,1,,,17094,56242,112389,3.5,,561,21,,140,Z956790,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,173,1,,,12486,55905,121399,4,,561,21,,115,Z975370,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,211,1,,,36312,56051,121399,4,,561,21,,115,Z975371,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,904,1,,,38352,56145,121399,4,,561,21,,115,Z975372,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,268,1,,,37522,57954,121399,4,,561,21,,115,Z975373,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,1339,1,,,37458,55945,121399,4,,561,21,,115,Z975374,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,1175,1,,,38127,56075,121399,4,,561,21,,115,Z975375,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,911,1,,,38110,55988,121399,4,,561,21,,115,Z975376,COMM,0,DUNGENESS CRAB
25A ,,10/1/2017,2017,10,1,339,1,,,37144,56068,124315,4,,561,21,,110,Z905458,COMM,0,DUNGENESS CRAB
25A ,,10/1/2017,2017,10,1,182,1,,,38036,56345,124315,4,,561,21,,110,Z905459,COMM,0,DUNGENESS CRAB
25A ,,10/1/2017,2017,10,1,201,1,,,37901,56311,124315,4,,561,21,,110,Z905460,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,1733,1,,,29186,56011,124315,4,,561,21,,,Z981778,COMM,0,DUNGENESS CRAB
22A ,,10/1/2017,2017,10,1,428,1,,,33280,56007,124315,4,,561,21,,105,Z985651,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,929,1,,,37433,56419,124315,4.25,,561,21,,105,Z985652,COMM,0,DUNGENESS CRAB
21A ,,10/1/2017,2017,10,1,500,1,,,37433,56419,124315,4.25,,561,21,,105,Z985652,COMM,0,DUNGENESS CRAB
21A ,,10/1/2017,2017,10,1,614,1,,,20890,56211,124315,4.25,,561,21,,105,Z985653,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,1223,1,,,20890,56211,124315,4.25,,561,21,,105,Z985653,COMM,0,DUNGENESS CRAB
21A ,,10/1/2017,2017,10,1,756,1,,,10340,56187,126369,4,,561,21,,160,Z971453,COMM,0,DUNGENESS CRAB
21A ,,10/1/2017,2017,10,1,728,1,,,34710,56331,126369,4,,561,21,,160,Z971454,COMM,0,DUNGENESS CRAB
21A ,,10/1/2017,2017,10,1,772,1,,,,0,126369,4,,561,21,,160,Z971599,COMM,0,DUNGENESS CRAB
21A ,,10/1/2017,2017,10,1,1279,1,,,38134,56059,126369,4,,561,21,,160,Z971600,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,559,1,,,38027,56386,121625,4,,561,21,,140,Z914851,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,566,1,,,33138,56411,121625,4,,561,21,,140,Z914852,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,2171,1,,,37173,56257,121625,4,,561,21,,140,Z914853,COMM,0,DUNGENESS CRAB
20A ,,10/1/2017,2017,10,1,204,1,,,36312,55918,125644,4,,561,21,,115,Z955972,COMM,0,DUNGENESS CRAB
